Origin,Date,Price,Units
belize,15/01/2021,0.86,£/kg
costa_rica,15/01/2021,0.87,£/kg
dominican_republic,15/01/2021,0.55,£/kg
ecuador,15/01/2021,0.83,£/kg
guatemala,15/01/2021,0.77,£/kg
acp_bananas,15/01/2021,0.8,£/kg
dollar_bananas,15/01/2021,0.85,£/kg
all_bananas,15/01/2021,0.84,£/kg
belize,08/01/2021,0.86,£/kg
costa_rica,08/01/2021,0.87,£/kg
ivory_coast,08/01/2021,0.73,£/kg
acp_bananas,08/01/2021,0.81,£/kg
dollar_bananas,08/01/2021,0.87,£/kg
all_bananas,08/01/2021,0.84,£/kg
belize,17/12/2020,0.66,£/kg
colombia,17/12/2020,0.69,£/kg
costa_rica,17/12/2020,0.7,£/kg
ecuador,17/12/2020,0.68,£/kg
ivory_coast,17/12/2020,0.68,£/kg
panama,17/12/2020,0.71,£/kg
guatemala,17/12/2020,0.68,£/kg
acp_bananas,17/12/2020,0.67,£/kg
dollar_bananas,17/12/2020,0.69,£/kg
all_bananas,17/12/2020,0.69,£/kg
belize,10/12/2020,0.66,£/kg
costa_rica,10/12/2020,0.7,£/kg
ecuador,10/12/2020,0.65,£/kg
ivory_coast,10/12/2020,0.68,£/kg
panama,10/12/2020,0.79,£/kg
guatemala,10/12/2020,0.68,£/kg
acp_bananas,10/12/2020,0.67,£/kg
dollar_bananas,10/12/2020,0.69,£/kg
all_bananas,10/12/2020,0.69,£/kg
costa_rica,03/12/2020,0.67,£/kg
ecuador,03/12/2020,0.62,£/kg
panama,03/12/2020,0.79,£/kg
dollar_bananas,03/12/2020,0.66,£/kg
all_bananas,03/12/2020,0.66,£/kg
belize,26/11/2020,0.58,£/kg
costa_rica,26/11/2020,0.7,£/kg
ecuador,26/11/2020,0.65,£/kg
panama,26/11/2020,0.79,£/kg
guatemala,26/11/2020,0.57,£/kg
acp_bananas,26/11/2020,0.58,£/kg
dollar_bananas,26/11/2020,0.67,£/kg
all_bananas,26/11/2020,0.66,£/kg
belize,19/11/2020,0.58,£/kg
costa_rica,19/11/2020,0.69,£/kg
ecuador,19/11/2020,0.65,£/kg
mexico,19/11/2020,0.54,£/kg
panama,19/11/2020,0.73,£/kg
guatemala,19/11/2020,0.57,£/kg
acp_bananas,19/11/2020,0.58,£/kg
dollar_bananas,19/11/2020,0.65,£/kg
all_bananas,19/11/2020,0.64,£/kg
belize,12/11/2020,0.48,£/kg
colombia,12/11/2020,0.5,£/kg
costa_rica,12/11/2020,0.69,£/kg
ecuador,12/11/2020,0.6,£/kg
guatemala,12/11/2020,0.53,£/kg
acp_bananas,12/11/2020,0.48,£/kg
dollar_bananas,12/11/2020,0.6,£/kg
all_bananas,12/11/2020,0.59,£/kg
belize,05/11/2020,0.48,£/kg
colombia,05/11/2020,0.5,£/kg
costa_rica,05/11/2020,0.75,£/kg
ecuador,05/11/2020,0.62,£/kg
ivory_coast,05/11/2020,0.44,£/kg
guatemala,05/11/2020,0.53,£/kg
